score,label
0.6134,0
0.4725,0
0.6505,0
0.5443,0
0.5554,0
0.6223,0
0.5392,0
0.3176,0
0.5438,0
0.5286,0
0.4075,0
0.4713,0
0.4384,0
0.5528,0
0.3643,0
0.3301,0
0.3661,0
0.3386,0
0.4848,0
0.5899,0
0.4569,0
0.4826,0
0.5566,0
0.5763,0
0.3621,0
0.7561,0
0.5317,0
0.3422,0
0.5564,0
0.4322,0
0.3607,0
0.3474,0
0.6507,0
0.6572,0
0.6027,0
0.3642,0
0.5458,0
0.5044,0
0.48,0
0.4132,0
0.5731,0
0.5873,0
0.3192,0
0.6454,0
0.4197,0
0.3912,0
0.4587,0
0.4687,0
0.442,0
0.315,0
0.5143,0
0.4341,0
0.4166,0
0.4653,0
0.4409,0
0.5186,0
0.5456,0
0.6282,0
0.4379,0
0.5943,0
0.6293,0
0.5823,0
0.5277,0
0.7962,0
0.2886,0
0.3297,0
0.5149,0
0.5366,0
0.3266,0
0.5666,0
0.3594,0
0.5796,0
0.5922,0
0.8279,0
0.4062,0
0.5374,0
0.3998,0
0.4571,0
0.4393,0
0.6509,0
0.5258,0
0.5669,0
0.5309,0
0.2518,0
0.3767,0
0.6151,0
0.3464,0
0.7066,0
0.2051,0
0.2666,0
0.3455,0
0.4101,0
0.5577,0
0.3919,0
0.5843,0
0.4832,0
0.4237,0
0.4205,0
0.4695,0
0.511,0
0.4962,0
0.4847,0
0.5641,0
0.5118,0
0.3926,0
0.5128,0
0.5426,0
0.4163,0
0.4821,0
0.2508,0
0.5552,0
0.4947,0
0.4637,0
0.2068,0
0.4204,0
0.4226,0
0.6226,0
0.4646,0
0.6393,0
0.5992,0
0.5743,0
0.4745,0
0.6167,0
0.5188,0
0.6185,0
0.4684,0
0.5743,0
0.3965,0
0.5397,0
0.2782,0
0.6385,0
0.6601,0
0.4268,0
0.4961,0
0.4896,0
0.4054,0
0.4725,0
0.561,0
0.3973,0
0.5883,0
0.4179,0
0.4819,0
0.5574,0
0.49,0
0.4587,0
0.5658,0
0.4509,0
0.5637,0
0.6363,0
0.3025,0
0.6627,0
0.3815,0
0.5174,0
0.6839,0
0.4607,0
0.6096,0
0.6255,0
0.5449,0
0.5837,0
0.5309,0
0.4574,0
0.5177,0
0.5179,0
0.5363,0
0.4679,0
0.5641,0
0.4723,0
0.4096,0
0.322,0
0.5628,0
0.5554,0
0.6567,0
0.3534,0
0.5374,0
0.6209,0
0.5068,0
0.4494,0
0.4356,0
0.3604,0
0.2551,0
0.363,0
0.5804,0
0.5242,0
0.3737,0
0.675,0
0.6142,0
0.2676,0
0.3274,0
0.6638,0
0.3634,0
0.5197,0
0.3395,0
0.4917,0
0.457,0
0.3802,0
0.5806,0
0.3179,0
0.4909,0
0.3792,0
0.5125,0
0.706,0
0.3569,0
0.3074,0
0.6105,0
0.611,0
0.5883,0
0.4497,0
0.5906,0
0.4998,0
0.4318,0
0.6457,0
0.5442,0
0.5396,0
0.6261,0
0.639,0
0.7606,0
0.4651,0
0.4498,0
0.459,0
0.5158,0
0.4246,0
0.4548,0
0.5342,0
0.6055,0
0.3556,0
0.37,0
0.478,0
0.4788,0
0.4093,0
0.5657,0
0.5257,0
0.4451,0
0.6385,0
0.4644,0
0.5559,0
0.7172,0
0.5842,0
0.5358,0
0.4008,0
0.7181,0
0.4035,0
0.4365,0
0.4754,0
0.5247,0
0.5115,0
0.631,0
0.4592,0
0.4256,0
0.4446,0
0.4684,0
0.6689,0
0.3787,0
0.4283,0
0.5244,0
0.4885,0
0.6096,0
0.5023,0
0.5632,0
0.5104,0
0.4633,0
0.4917,0
0.6888,0
0.4211,0
0.5307,0
0.4317,0
0.4759,0
0.3287,0
0.3987,0
0.358,0
0.4558,0
0.3762,0
0.358,0
0.4817,0
0.3552,0
0.4539,0
0.6409,0
0.5182,0
0.5765,0
0.5438,0
0.3216,0
0.4905,0
0.3217,0
0.3451,0
0.4031,0
0.3905,0
0.6054,0
0.4894,0
0.5333,0
0.3519,0
0.3269,0
0.5038,0
0.5144,0
0.4659,0
0.4125,0
0.4816,0
0.6658,0
0.4373,0
0.5241,0
0.5633,0
0.5008,0
0.433,0
0.5422,0
0.6219,0
0.6144,0
0.3662,0
0.4356,0
0.3231,0
0.2579,0
0.6298,0
0.4391,0
0.2747,0
0.3077,0
0.4996,0
0.2707,0
0.7087,0
0.2994,0
0.4934,0
0.5806,0
0.4117,0
0.4688,0
0.4467,0
0.4876,0
0.587,0
0.2974,0
0.4469,0
0.444,0
0.6527,0
0.6551,0
0.5858,0
0.4442,0
0.5299,0
0.4852,0
0.5248,0
0.5336,0
0.691,0
0.3801,0
0.6408,0
0.6711,0
0.6379,0
0.7296,0
0.409,0
0.4502,0
0.5309,0
0.7199,0
0.5178,0
0.3833,0
0.4948,0
0.6299,0
0.5797,0
0.4695,0
0.5914,0
0.543,0
0.53,0
0.4682,0
0.4124,0
0.5525,0
0.5115,0
0.5556,0
